City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jimenez,MX,66.49,broken clouds,28.3333,-105.4,El torreon
1,Mataura,NZ,43.68,broken clouds,-46.1927,168.8643,Ellie's Villa
2,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Xinzhi,CN,72.52,clear sky,36.4989,111.7047,Mingyue Hotel
4,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
5,Waipawa,NZ,45.64,clear sky,-41.4122,175.5153,Tora Coastal Walk
6,Luau,AO,70.0,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
7,Newala,TZ,69.76,moderate rain,-10.9431,39.2787,Mnyeu Newala
8,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
9,Broome,US,45.19,overcast clouds,42.2506,-75.833,Chenango Valley State Park
10,Hobart,AU,64.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Jamestown,US,40.59,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Tasiilaq,GL,32.16,overcast clouds,65.6145,-37.6368,The Red House
13,Dahod,IN,91.47,clear sky,22.8333,74.2667,Hotel Laxmi Inn
14,Buraydah,SA,95.45,clear sky,26.326,43.975,Mövenpick Qassim
15,Ribeira Grande,PT,55.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
16,Rikitea,PF,78.82,few clouds,-23.1203,-134.9692,People ThankYou
17,Ponta Delgada,PT,61.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
18,Ushuaia,AR,44.22,few clouds,-54.8,-68.3,Albatross Hotel
19,New Norfolk,AU,63.9,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
20,Ballina,AU,65.01,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
21,Butaritari,KI,79.72,moderate rain,3.0707,172.7902,Isles Sunset Lodge
22,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
24,Havre-Saint-Pierre,CA,34.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
25,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
27,Kudahuvadhoo,MV,85.05,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
28,Cape Town,ZA,81.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Luban,PL,49.59,overcast clouds,51.1201,15.2877,Motel Łużycki
30,Khasan,RU,46.56,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
31,Misratah,LY,69.69,clear sky,32.3754,15.0925,Almasa Hotel
32,Zhangjiakou,CN,63.28,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
34,Arraial Do Cabo,BR,84.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
36,Mpongwe,ZM,68.63,light rain,-13.5091,28.155,Casablanca guest house and bar
38,Tuatapere,NZ,45.73,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
40,Hithadhoo,MV,84.04,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Codrington,AU,63.43,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
42,Bergen,NO,42.15,broken clouds,60.392,5.328,Clarion Collection Hotel Havnekontoret
43,Punta Arenas,CL,42.91,scattered clouds,-53.15,-70.9167,Hotel Hain
44,Lompoc,US,50.41,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Zhicheng,CN,73.0,light rain,30.2956,111.5047,Wangjiang Building
46,Atasu,KZ,49.48,overcast clouds,48.6814,71.6433,Dostyk
47,Dakar,SN,99.48,clear sky,14.6937,-17.4441,Novotel Dakar
48,Sarai Alamgir,PK,86.9,clear sky,32.9012,73.7559,Tulip Riverside Hotel And Restaurant Jehlum
50,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Bluff,NZ,57.11,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
52,Trofors,NO,40.87,overcast clouds,65.5333,13.4063,Utpå Neset AS
53,Ahipara,NZ,60.91,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
54,East London,ZA,63.54,broken clouds,-33.0153,27.9116,Tu Casa
55,Terrace,CA,33.71,overcast clouds,54.5163,-128.6035,Northern Motor Inn
56,Pilar,BR,85.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
57,Bengkulu,ID,78.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Thompson,CA,33.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
60,Darhan,MN,37.11,few clouds,49.4867,105.9228,Buudai Hotel
61,Atuona,PF,78.76,light rain,-9.8,-139.0333,Villa Enata
62,Lamu,KE,84.0,clear sky,-2.2717,40.902,Lamu House
