City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jimenez,MX,28.3333,-105.4,66.49,18,79,5.82,broken clouds
1,Mataura,NZ,-46.1927,168.8643,43.68,98,81,3.22,broken clouds
2,Vaini,TO,-21.2,-175.2,75.36,100,40,0.0,scattered clouds
3,Xinzhi,CN,36.4989,111.7047,72.52,23,0,4.94,clear sky
4,Avarua,CK,-21.2078,-159.775,82.45,78,40,10.36,scattered clouds
5,Waipawa,NZ,-41.4122,175.5153,45.64,83,0,4.32,clear sky
6,Luau,AO,-10.7073,22.2247,70.0,90,88,2.33,overcast clouds
7,Newala,TZ,-10.9431,39.2787,69.76,95,91,5.59,moderate rain
8,Port Alfred,ZA,-33.5906,26.891,65.17,85,99,4.0,overcast clouds
9,Broome,US,42.2506,-75.833,45.19,77,100,8.05,overcast clouds
10,Hobart,AU,-42.8794,147.3294,64.26,75,40,8.05,scattered clouds
11,Jamestown,US,42.097,-79.2353,40.59,63,100,11.5,overcast clouds
12,Tasiilaq,GL,65.6145,-37.6368,32.16,84,100,1.59,overcast clouds
13,Dahod,IN,22.8333,74.2667,91.47,12,0,7.11,clear sky
14,Buraydah,SA,26.326,43.975,95.45,8,0,14.2,clear sky
15,Ribeira Grande,PT,38.5167,-28.7,55.8,82,40,25.32,scattered clouds
16,Rikitea,PF,-23.1203,-134.9692,78.82,74,14,18.07,few clouds
17,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,40,25.32,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,44.22,70,20,2.3,few clouds
19,New Norfolk,AU,-42.7826,147.0587,63.9,65,33,3.24,scattered clouds
20,Ballina,AU,-28.8667,153.5667,65.01,96,56,5.75,broken clouds
21,Butaritari,KI,3.0707,172.7902,79.72,83,79,11.36,moderate rain
22,Carnarvon,AU,-24.8667,113.6333,73.47,68,0,19.57,clear sky
23,Upernavik,GL,72.7868,-56.1549,3.25,92,100,9.26,overcast clouds
24,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,93,100,12.66,overcast clouds
25,Port Hedland,AU,-20.3167,118.5667,84.25,70,35,16.11,scattered clouds
26,Tiksi,RU,71.6872,128.8694,-11.34,100,100,3.02,overcast clouds
27,Kudahuvadhoo,MV,2.6708,72.8944,85.05,63,17,10.09,few clouds
28,Cape Town,ZA,-33.9258,18.4232,81.01,33,0,11.5,clear sky
29,Luban,PL,51.1201,15.2877,49.59,61,87,14.61,overcast clouds
30,Khasan,RU,42.4308,130.6434,46.56,74,100,3.49,overcast clouds
31,Misratah,LY,32.3754,15.0925,69.69,48,1,14.88,clear sky
32,Zhangjiakou,CN,40.81,114.8794,63.28,37,7,5.41,clear sky
33,Bara,NG,10.3744,10.7288,100.18,15,58,2.24,broken clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,70,20,11.5,few clouds
35,Qadirpur Ran,PK,30.2924,71.6712,102.09,6,0,4.38,clear sky
36,Mpongwe,ZM,-13.5091,28.155,68.63,90,95,5.19,light rain
37,Qaanaaq,GL,77.484,-69.3632,-1.89,72,9,5.23,clear sky
38,Tuatapere,NZ,-46.1333,167.6833,45.73,90,50,4.79,scattered clouds
39,Barrow,US,71.2906,-156.7887,-18.38,69,0,9.22,clear sky
40,Hithadhoo,MV,-0.6,73.0833,84.04,68,95,7.14,overcast clouds
41,Codrington,AU,-38.2667,141.9667,63.43,73,48,9.64,scattered clouds
42,Bergen,NO,60.392,5.328,42.15,74,75,23.02,broken clouds
43,Punta Arenas,CL,-53.15,-70.9167,42.91,93,40,9.22,scattered clouds
44,Lompoc,US,34.6391,-120.4579,50.41,81,100,25.99,mist
45,Zhicheng,CN,30.2956,111.5047,73.0,60,100,4.81,light rain
46,Atasu,KZ,48.6814,71.6433,49.48,61,100,9.57,overcast clouds
47,Dakar,SN,14.6937,-17.4441,99.48,64,0,13.8,clear sky
48,Sarai Alamgir,PK,32.9012,73.7559,86.9,15,0,9.13,clear sky
49,Leningradskiy,RU,69.3833,178.4167,-24.39,98,56,4.76,broken clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,80.56,74,100,4.54,overcast clouds
51,Bluff,NZ,-46.6,168.3333,57.11,78,91,21.07,overcast clouds
52,Trofors,NO,65.5333,13.4063,40.87,92,100,3.87,overcast clouds
53,Ahipara,NZ,-35.1667,173.1667,60.91,74,44,5.48,scattered clouds
54,East London,ZA,-33.0153,27.9116,63.54,94,75,8.05,broken clouds
55,Terrace,CA,54.5163,-128.6035,33.71,100,100,6.91,overcast clouds
56,Pilar,BR,-9.5972,-35.9567,85.93,61,70,9.6,broken clouds
57,Bengkulu,ID,-3.8004,102.2655,78.89,81,100,3.51,overcast clouds
58,Thompson,CA,55.7435,-97.8558,33.96,47,100,8.05,overcast clouds
59,Chokurdakh,RU,70.6333,147.9167,-24.75,100,74,5.1,broken clouds
60,Darhan,MN,49.4867,105.9228,37.11,72,21,1.21,few clouds
61,Atuona,PF,-9.8,-139.0333,78.76,81,24,21.85,light rain
62,Lamu,KE,-2.2717,40.902,84.0,72,3,14.2,clear sky
63,Banda Aceh,ID,5.5577,95.3222,81.12,77,100,3.15,overcast clouds
64,Kapaa,US,22.0752,-159.319,73.47,87,100,20.71,light rain
65,Buala,SB,-8.145,159.5921,79.38,83,54,5.19,light rain
66,Lorengau,PG,-2.0226,147.2712,78.69,84,100,3.6,overcast clouds
67,Lasa,IT,46.6166,10.7002,49.08,63,100,10.54,overcast clouds
68,Puerto Escondido,MX,15.85,-97.0667,79.63,83,0,5.75,clear sky
69,Guerrero Negro,MX,27.9769,-114.0611,69.04,53,8,9.28,clear sky
70,Port Elizabeth,ZA,-33.918,25.5701,67.1,80,100,14.97,overcast clouds
71,Nikolskoye,RU,59.7035,30.7861,48.09,78,100,10.69,overcast clouds
72,Nuuk,GL,64.1835,-51.7216,25.41,80,75,11.5,broken clouds
73,Nemuro,JP,43.3236,145.575,38.12,83,30,7.45,scattered clouds
74,Tezu,IN,27.9167,96.1667,68.45,79,29,4.32,scattered clouds
75,Poya,NC,-21.35,165.15,75.2,92,80,4.23,broken clouds
76,Lebu,CL,-37.6167,-73.65,57.47,83,57,12.82,broken clouds
77,Yumen,CN,40.2833,97.2,63.59,12,81,7.78,broken clouds
78,Vao,NC,-22.6667,167.4833,77.43,85,24,23.76,few clouds
79,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,73,100,6.85,overcast clouds
80,Mercedes,AR,-34.6515,-59.4307,74.79,44,0,7.23,clear sky
81,Asau,RO,46.4333,26.4,68.92,68,97,7.94,overcast clouds
82,Srednekolymsk,RU,67.45,153.6833,-14.19,97,85,5.23,overcast clouds
83,Iwanai,JP,42.9744,140.5089,43.83,97,92,3.4,overcast clouds
84,Balkanabat,TM,39.5108,54.3671,77.25,30,100,9.82,overcast clouds
85,Varberg,SE,57.1056,12.2508,46.92,71,72,20.76,broken clouds
86,Hasaki,JP,35.7333,140.8333,55.8,83,0,15.19,clear sky
87,Mana,GF,5.6592,-53.7767,80.08,85,99,11.1,overcast clouds
88,Siwana,IN,25.6333,72.4167,90.72,9,60,9.55,broken clouds
89,Albany,US,42.6001,-73.9662,45.37,91,100,5.93,moderate rain
90,Vung Tau,VN,10.346,107.0843,80.22,74,83,13.87,broken clouds
91,Pangnirtung,CA,66.1451,-65.7125,10.4,79,100,5.75,light snow
92,Navalcarnero,ES,40.2891,-4.012,65.21,71,80,10.51,broken clouds
93,Coihaique,CL,-45.5752,-72.0662,44.55,93,75,3.44,broken clouds
94,Fortuna,US,40.5982,-124.1573,43.99,83,16,4.0,few clouds
95,Bathsheba,BB,13.2167,-59.5167,84.81,65,75,23.02,broken clouds
96,Moree,AU,-29.4667,149.85,64.42,88,96,9.22,overcast clouds
97,Ipixuna,BR,-1.7625,-48.8043,82.89,80,87,2.3,overcast clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,85,100,19.57,light snow
99,Tricase,IT,39.9304,18.3553,67.35,67,0,3.44,clear sky
100,Wewak,PG,-3.5534,143.6268,78.19,89,99,6.44,overcast clouds
101,Khatanga,RU,71.9667,102.5,0.64,99,65,5.28,broken clouds
102,Richards Bay,ZA,-28.783,32.0377,67.06,85,100,5.91,light rain
103,Payson,US,40.0444,-111.7321,53.38,51,75,23.02,broken clouds
104,Cayenne,GF,4.9333,-52.3333,86.04,1,40,19.57,scattered clouds
105,Aromashevo,RU,56.8602,68.6375,27.93,96,50,4.29,scattered clouds
106,Harper,LR,4.375,-7.7169,86.02,69,100,10.83,overcast clouds
107,Bredasdorp,ZA,-34.5322,20.0403,64.83,69,21,23.09,few clouds
108,West Odessa,US,31.8424,-102.4988,63.05,20,0,13.8,clear sky
109,El Retorno,CO,2.3302,-72.6276,87.26,59,97,0.74,overcast clouds
110,Chute-Aux-Outardes,CA,49.1168,-68.399,35.58,93,100,10.36,overcast clouds
111,Busselton,AU,-33.65,115.3333,59.7,57,98,6.02,overcast clouds
112,Sioux Lookout,CA,50.1001,-91.917,26.67,54,20,2.3,few clouds
113,Vestmannaeyjar,IS,63.4427,-20.2734,38.39,75,75,28.77,broken clouds
